id,name,description,category,subcategory,brand,price,currency,sku,tags,rating,reviews_count,in_stock,weight_kg,color,material
1,Wireless Noise-Cancelling Headphones,Premium over-ear headphones with active noise cancellation and 30-hour battery life,Electronics,Audio,SoundCore,149.99,USD,SC-WH300,wireless;noise-cancelling;bluetooth;audio,4.6,1243,true,0.25,Matte Black,Plastic/Metal
2,Organic Cotton T-Shirt,Soft breathable crew-neck tee made from 100% GOTS-certified organic cotton,Clothing,Tops,EcoWear,34.99,USD,EW-TS100,organic;cotton;sustainable;basics,4.3,587,true,0.18,White,Organic Cotton
3,Cast Iron Skillet 12 inch,Pre-seasoned cast iron skillet suitable for stovetop and oven use up to 500F,Home & Kitchen,Cookware,IronChef,44.95,USD,IC-SK12,cast-iron;cookware;oven-safe;pre-seasoned,4.8,2105,true,3.60,Black,Cast Iron
4,Bluetooth Portable Speaker,Waterproof IPX7 portable speaker with 360-degree sound and 18-hour playtime,Electronics,Audio,SoundCore,79.99,USD,SC-SP200,bluetooth;waterproof;portable;speaker,4.5,892,true,0.54,Navy Blue,Plastic/Rubber
5,Running Shoes - CloudStrike,Lightweight responsive running shoes with carbon-plate technology,Clothing,Footwear,StrideMax,189.00,USD,SM-CS500,running;shoes;carbon-plate;lightweight,4.7,431,true,0.28,Electric Green,Mesh/Carbon Fiber
6,Stainless Steel Water Bottle,Double-wall vacuum insulated bottle keeps drinks cold 24h or hot 12h,Home & Kitchen,Drinkware,HydroFlask,29.95,USD,HF-WB750,insulated;water-bottle;stainless-steel;eco-friendly,4.4,1876,true,0.34,Silver,Stainless Steel
7,Mechanical Keyboard RGB,Hot-swappable mechanical keyboard with per-key RGB and gasket mount,Electronics,Peripherals,KeyCraft,129.00,USD,KC-MK80,mechanical;keyboard;rgb;hot-swap;gaming,4.6,634,true,0.95,Space Gray,Aluminum/Plastic
8,Yoga Mat Premium 6mm,Non-slip TPE yoga mat with alignment lines and carrying strap included,Sports & Outdoors,Fitness,ZenFit,39.99,USD,ZF-YM600,yoga;mat;non-slip;fitness;eco-friendly,4.5,1102,true,1.20,Sage Green,TPE Foam
9,Smart LED Desk Lamp,Touch-control desk lamp with 5 color temperatures and USB charging port,Home & Kitchen,Lighting,LumiTech,54.99,USD,LT-DL400,led;desk-lamp;smart;usb-charging;dimmable,4.3,445,true,0.82,White,Aluminum/ABS
10,Organic Green Tea Matcha,Ceremonial grade organic matcha powder sourced from Uji Kyoto Japan,Food & Beverage,Tea,LeafWell,28.50,USD,LW-MT100,organic;matcha;green-tea;japanese;ceremonial-grade,4.7,763,true,0.10,Green,N/A
11,Leather Bifold Wallet,Full-grain leather wallet with RFID blocking and 8 card slots,Clothing,Accessories,CraftHide,59.99,USD,CH-WL200,leather;wallet;rfid;minimalist,4.4,328,true,0.09,Dark Brown,Full-Grain Leather
12,Air Purifier HEPA 13,True HEPA H13 air purifier covering up to 450 sq ft with sleep mode,Home & Kitchen,Air Quality,PureBreeze,119.99,USD,PB-AP450,air-purifier;hepa;quiet;allergen;sleep-mode,4.5,567,true,3.20,White,ABS Plastic
13,Resistance Band Set,Set of 5 fabric resistance bands with varying resistance levels and carry bag,Sports & Outdoors,Fitness,FlexForce,24.99,USD,FF-RB500,resistance-bands;fitness;workout;portable;fabric,4.6,921,true,0.35,Multicolor,Fabric/Latex
14,USB-C Hub 7-in-1,Multiport adapter with 4K HDMI USB-A 3.0 SD card reader and PD charging,Electronics,Accessories,TechLink,39.99,USD,TL-HB700,usb-c;hub;adapter;hdmi;macbook,4.2,412,true,0.08,Gunmetal,Aluminum
15,Scented Soy Candle Set,Set of 3 hand-poured soy wax candles in lavender vanilla and eucalyptus,Home & Kitchen,Decor,WickCraft,32.00,USD,WC-SC300,candles;soy;scented;handmade;gift-set,4.6,289,true,0.75,Cream,Soy Wax/Glass
16,Insulated Hiking Boots,Waterproof insulated hiking boots with Vibram outsole for cold weather,Sports & Outdoors,Footwear,TrailBlaze,164.95,USD,TB-HB800,hiking;boots;waterproof;insulated;vibram,4.7,198,true,0.95,Earth Brown,Leather/Gore-Tex
17,Wireless Charging Pad,Qi-certified 15W fast wireless charger compatible with all Qi devices,Electronics,Accessories,ChargePlus,19.99,USD,CP-WC150,wireless-charger;qi;fast-charging;slim,4.1,1534,true,0.12,Black,Glass/Silicone
18,French Press Coffee Maker,Borosilicate glass French press with stainless steel filter 34oz capacity,Home & Kitchen,Coffee,BrewMaster,27.95,USD,BM-FP340,french-press;coffee;glass;stainless-steel,4.5,687,true,0.65,Clear/Silver,Glass/Stainless Steel
19,Laptop Backpack Anti-Theft,Water-resistant backpack with hidden zippers USB port fits 15.6 inch laptop,Clothing,Bags,UrbanCarry,49.99,USD,UC-BP160,backpack;anti-theft;laptop;water-resistant;usb,4.4,823,true,0.72,Charcoal,Polyester/Nylon
20,Plant-Based Protein Powder,Organic pea and rice protein blend 25g protein per serving vanilla flavor,Food & Beverage,Supplements,GreenFuel,38.99,USD,GF-PP900,protein;plant-based;organic;vegan;vanilla,4.3,456,true,0.90,Beige,N/A
